"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,979,20,1,1,1
1,979,20,1,0,0
1.5,978,20,2,1,1
2,976,22,2,2,0
2.5,974,23,3,2,1
3,967,29,4,7,1
3.5,965,30,5,2,1
4,964,28,8,1,3
4.5,960,30,10,4,2
5,957,31,12,3,2
5.5,952,34,14,5,2
6,950,36,14,2,0
6.5,946,39,15,4,1
7,944,38,18,2,3
7.5,940,40,20,4,2
8,933,45,22,7,2
8.5,928,47,25,5,3
9,925,49,26,3,1
9.5,919,51,30,6,4
10,913,54,33,6,3
10.5,909,56,35,4,2
11,907,53,40,2,5
11.5,903,53,44,4,4
12,899,53,48,4,4
12.5,894,57,49,5,1
13,890,56,54,4,5
13.5,884,57,59,6,5
14,878,60,62,6,3
14.5,870,68,62,8,0
15,866,68,66,4,4
15.5,861,69,70,5,4
16,857,71,72,4,2
16.5,852,68,80,5,8
17,842,72,86,10,6
17.5,833,79,88,9,2
18,822,84,94,11,6
18.5,812,90,98,10,4
19,802,95,103,10,5
19.5,798,86,116,4,13
20,792,86,122,6,6
20.5,782,92,126,10,4
21,778,92,130,4,4
21.5,772,89,139,6,9
22,761,93,146,11,7
22.5,755,92,153,6,7
23,742,100,158,13,5
23.5,734,103,163,8,5
24,723,111,166,11,3
24.5,713,113,174,10,8
25,705,116,179,8,5
25.5,695,116,189,10,10
26,690,110,200,5,11
26.5,684,107,209,6,9
27,674,106,220,10,11
27.5,666,109,225,8,5
28,657,113,230,9,5
28.5,644,119,237,13,7
29,633,121,246,11,9
29.5,627,114,259,6,13
30,619,115,266,8,7
30.5,611,119,270,8,4
31,607,109,284,4,14
31.5,597,115,288,10,4
32,582,121,297,15,9
32.5,573,114,313,9,16
33,564,115,321,9,8
33.5,560,107,333,4,12
34,555,105,340,5,7
34.5,548,106,346,7,6
35,543,103,354,5,8
35.5,538,97,365,5,11
36,530,97,373,8,8
36.5,526,92,382,4,9
37,519,92,389,7,7
37.5,514,91,395,5,6
38,506,90,404,8,9
38.5,502,87,411,4,7
39,501,80,419,1,8
39.5,498,78,424,3,5
40,488,85,427,10,3
40.5,483,83,434,5,7
41,479,80,441,4,7
41.5,473,80,447,6,6
42,466,80,454,7,7
42.5,466,72,462,0,8
43,459,75,466,7,4
43.5,454,73,473,5,7
44,447,76,477,7,4
44.5,442,75,483,5,6
45,438,71,491,4,8
45.5,437,68,495,1,4
46,435,61,504,2,9
46.5,430,60,510,5,6
47,422,61,517,8,7
47.5,418,59,523,4,6
48,418,55,527,0,4
48.5,415,55,530,3,3
49,414,54,532,1,2
49.5,411,47,542,3,10
50,411,44,545,0,3
50.5,410,41,549,1,4
51,407,39,554,3,5
51.5,404,41,555,3,1
52,402,37,561,2,6
52.5,400,39,561,2,0
53,400,36,564,0,3
53.5,398,37,565,2,1
54,398,36,566,0,1
54.5,396,33,571,2,5
55,395,33,572,1,1
55.5,394,30,576,1,4
56,394,26,580,0,4
56.5,393,27,580,1,0
57,392,27,581,1,1
57.5,392,27,581,0,0
58,390,27,583,2,2
58.5,390,24,586,0,3
59,389,22,589,1,3
59.5,388,22,590,1,1
60,387,18,595,1,5
60.5,387,16,597,0,2
61,386,16,598,1,1
61.5,386,16,598,0,0
62,386,16,598,0,0
62.5,386,15,599,0,1
63,384,15,601,2,2
63.5,384,14,602,0,1
64,384,12,604,0,2
64.5,384,12,604,0,0
65,384,11,605,0,1
65.5,384,8,608,0,3
66,384,8,608,0,0
66.5,384,8,608,0,0
67,383,9,608,1,0
67.5,383,8,609,0,1
68,383,8,609,0,0
68.5,383,7,610,0,1
69,383,7,610,0,0
69.5,383,5,612,0,2
70,383,5,612,0,0
70.5,383,4,613,0,1
71,382,5,613,1,0
71.5,382,4,614,0,1
72,382,4,614,0,0
72.5,382,4,614,0,0
73,382,3,615,0,1
73.5,382,3,615,0,0
74,382,3,615,0,0
74.5,382,2,616,0,1
75,381,3,616,1,0
75.5,381,3,616,0,0
76,381,2,617,0,1
76.5,381,1,618,0,1
77,381,1,618,0,0
77.5,381,1,618,0,0
78,381,1,618,0,0
78.5,381,0,619,0,1
79,381,0,619,0,0
79.5,381,0,619,0,0
80,381,0,619,0,0
