"time","S","I","R","new_I","new_R"
0,980,20,0,20,0
0.5,597,403,0,383,0
1,0,981,19,597,19
1.5,0,936,64,0,45
2,0,904,96,0,32
2.5,0,869,131,0,35
3,0,834,166,0,35
3.5,0,798,202,0,36
4,0,768,232,0,30
4.5,0,734,266,0,34
5,0,698,302,0,36
5.5,0,674,326,0,24
6,0,649,351,0,25
6.5,0,623,377,0,26
7,0,604,396,0,19
7.5,0,572,428,0,32
8,0,546,454,0,26
8.5,0,530,470,0,16
9,0,502,498,0,28
9.5,0,484,516,0,18
10,0,471,529,0,13
10.5,0,443,557,0,28
11,0,423,577,0,20
11.5,0,404,596,0,19
12,0,386,614,0,18
12.5,0,376,624,0,10
13,0,355,645,0,21
13.5,0,333,667,0,22
14,0,317,683,0,16
14.5,0,309,691,0,8
15,0,298,702,0,11
15.5,0,286,714,0,12
16,0,267,733,0,19
16.5,0,260,740,0,7
17,0,251,749,0,9
17.5,0,241,759,0,10
18,0,229,771,0,12
18.5,0,212,788,0,17
19,0,200,800,0,12
19.5,0,188,812,0,12
20,0,181,819,0,7
20.5,0,175,825,0,6
21,0,170,830,0,5
21.5,0,165,835,0,5
22,0,155,845,0,10
22.5,0,148,852,0,7
23,0,142,858,0,6
23.5,0,139,861,0,3
24,0,133,867,0,6
24.5,0,130,870,0,3
25,0,119,881,0,11
25.5,0,112,888,0,7
26,0,110,890,0,2
26.5,0,106,894,0,4
27,0,102,898,0,4
27.5,0,97,903,0,5
28,0,94,906,0,3
28.5,0,87,913,0,7
29,0,86,914,0,1
29.5,0,83,917,0,3
30,0,77,923,0,6
30.5,0,76,924,0,1
31,0,74,926,0,2
31.5,0,73,927,0,1
32,0,72,928,0,1
32.5,0,70,930,0,2
33,0,66,934,0,4
33.5,0,64,936,0,2
34,0,62,938,0,2
34.5,0,60,940,0,2
35,0,58,942,0,2
35.5,0,56,944,0,2
36,0,53,947,0,3
36.5,0,52,948,0,1
37,0,52,948,0,0
37.5,0,50,950,0,2
38,0,48,952,0,2
38.5,0,43,957,0,5
39,0,42,958,0,1
39.5,0,41,959,0,1
40,0,39,961,0,2
40.5,0,37,963,0,2
41,0,37,963,0,0
41.5,0,36,964,0,1
42,0,34,966,0,2
42.5,0,32,968,0,2
43,0,32,968,0,0
43.5,0,32,968,0,0
44,0,31,969,0,1
44.5,0,28,972,0,3
45,0,26,974,0,2
45.5,0,26,974,0,0
46,0,24,976,0,2
46.5,0,22,978,0,2
47,0,22,978,0,0
47.5,0,22,978,0,0
48,0,22,978,0,0
48.5,0,22,978,0,0
49,0,19,981,0,3
49.5,0,19,981,0,0
50,0,18,982,0,1
50.5,0,17,983,0,1
51,0,17,983,0,0
51.5,0,16,984,0,1
52,0,16,984,0,0
52.5,0,15,985,0,1
53,0,14,986,0,1
53.5,0,14,986,0,0
54,0,13,987,0,1
54.5,0,13,987,0,0
55,0,13,987,0,0
55.5,0,13,987,0,0
56,0,12,988,0,1
56.5,0,12,988,0,0
57,0,12,988,0,0
57.5,0,12,988,0,0
58,0,12,988,0,0
58.5,0,12,988,0,0
59,0,12,988,0,0
59.5,0,12,988,0,0
60,0,10,990,0,2
60.5,0,9,991,0,1
61,0,9,991,0,0
61.5,0,9,991,0,0
62,0,9,991,0,0
62.5,0,9,991,0,0
63,0,8,992,0,1
63.5,0,8,992,0,0
64,0,8,992,0,0
64.5,0,8,992,0,0
65,0,8,992,0,0
65.5,0,8,992,0,0
66,0,7,993,0,1
66.5,0,7,993,0,0
67,0,7,993,0,0
67.5,0,7,993,0,0
68,0,6,994,0,1
68.5,0,5,995,0,1
69,0,5,995,0,0
69.5,0,5,995,0,0
70,0,4,996,0,1
70.5,0,3,997,0,1
71,0,3,997,0,0
71.5,0,2,998,0,1
72,0,2,998,0,0
72.5,0,2,998,0,0
73,0,1,999,0,1
73.5,0,0,1000,0,1
74,0,0,1000,0,0
74.5,0,0,1000,0,0
75,0,0,1000,0,0
75.5,0,0,1000,0,0
76,0,0,1000,0,0
76.5,0,0,1000,0,0
77,0,0,1000,0,0
77.5,0,0,1000,0,0
78,0,0,1000,0,0
78.5,0,0,1000,0,0
79,0,0,1000,0,0
79.5,0,0,1000,0,0
80,0,0,1000,0,0
