"time","S","I","R","new_I","new_R"
0,99000,1,0,1,0
0.5,98752,249,0,248,0
1,52814,46173,14,45938,14
1.5,0,97108,1893,52814,1879
2,0,93288,5713,0,3820
2.5,0,89564,9437,0,3724
3,0,86057,12944,0,3507
3.5,0,82715,16286,0,3342
4,0,79375,19626,0,3340
4.5,0,76176,22825,0,3199
5,0,73193,25808,0,2983
5.5,0,70364,28637,0,2829
6,0,67582,31419,0,2782
6.5,0,64928,34073,0,2654
7,0,62333,36668,0,2595
7.5,0,59907,39094,0,2426
8,0,57607,41394,0,2300
8.5,0,55294,43707,0,2313
9,0,53148,45853,0,2146
9.5,0,51071,47930,0,2077
10,0,49110,49891,0,1961
10.5,0,47158,51843,0,1952
11,0,45328,53673,0,1830
11.5,0,43521,55480,0,1807
12,0,41815,57186,0,1706
12.5,0,40183,58818,0,1632
13,0,38568,60433,0,1615
13.5,0,37004,61997,0,1564
14,0,35531,63470,0,1473
14.5,0,34090,64911,0,1441
15,0,32762,66239,0,1328
15.5,0,31533,67468,0,1229
16,0,30324,68677,0,1209
16.5,0,29125,69876,0,1199
17,0,27999,71002,0,1126
17.5,0,26885,72116,0,1114
18,0,25838,73163,0,1047
18.5,0,24810,74191,0,1028
19,0,23881,75120,0,929
19.5,0,22892,76109,0,989
20,0,21983,77018,0,909
20.5,0,21105,77896,0,878
21,0,20277,78724,0,828
21.5,0,19469,79532,0,808
22,0,18715,80286,0,754
22.5,0,17952,81049,0,763
23,0,17281,81720,0,671
23.5,0,16569,82432,0,712
24,0,15935,83066,0,634
24.5,0,15258,83743,0,677
25,0,14656,84345,0,602
25.5,0,14073,84928,0,583
26,0,13563,85438,0,510
26.5,0,13032,85969,0,531
27,0,12498,86503,0,534
27.5,0,12031,86970,0,467
28,0,11538,87463,0,493
28.5,0,11097,87904,0,441
29,0,10631,88370,0,466
29.5,0,10238,88763,0,393
30,0,9800,89201,0,438
30.5,0,9405,89596,0,395
31,0,8994,90007,0,411
31.5,0,8675,90326,0,319
32,0,8332,90669,0,343
32.5,0,8025,90976,0,307
33,0,7727,91274,0,298
33.5,0,7448,91553,0,279
34,0,7144,91857,0,304
34.5,0,6863,92138,0,281
35,0,6576,92425,0,287
35.5,0,6297,92704,0,279
36,0,6045,92956,0,252
36.5,0,5821,93180,0,224
37,0,5595,93406,0,226
37.5,0,5356,93645,0,239
38,0,5152,93849,0,204
38.5,0,4960,94041,0,192
39,0,4751,94250,0,209
39.5,0,4572,94429,0,179
40,0,4391,94610,0,181
40.5,0,4212,94789,0,179
41,0,4028,94973,0,184
41.5,0,3853,95148,0,175
42,0,3708,95293,0,145
42.5,0,3579,95422,0,129
43,0,3441,95560,0,138
43.5,0,3320,95681,0,121
44,0,3195,95806,0,125
44.5,0,3065,95936,0,130
45,0,2933,96068,0,132
45.5,0,2822,96179,0,111
46,0,2730,96271,0,92
46.5,0,2627,96374,0,103
47,0,2493,96508,0,134
47.5,0,2386,96615,0,107
48,0,2270,96731,0,116
48.5,0,2176,96825,0,94
49,0,2089,96912,0,87
49.5,0,2001,97000,0,88
50,0,1923,97078,0,78
50.5,0,1840,97161,0,83
51,0,1766,97235,0,74
51.5,0,1696,97305,0,70
52,0,1624,97377,0,72
52.5,0,1560,97441,0,64
53,0,1491,97510,0,69
53.5,0,1423,97578,0,68
54,0,1378,97623,0,45
54.5,0,1323,97678,0,55
55,0,1273,97728,0,50
55.5,0,1230,97771,0,43
56,0,1184,97817,0,46
56.5,0,1134,97867,0,50
57,0,1096,97905,0,38
57.5,0,1053,97948,0,43
58,0,1005,97996,0,48
58.5,0,961,98040,0,44
59,0,920,98081,0,41
59.5,0,888,98113,0,32
60,0,854,98147,0,34
60.5,0,815,98186,0,39
61,0,783,98218,0,32
61.5,0,749,98252,0,34
62,0,708,98293,0,41
62.5,0,683,98318,0,25
63,0,656,98345,0,27
63.5,0,628,98373,0,28
64,0,610,98391,0,18
64.5,0,592,98409,0,18
65,0,576,98425,0,16
65.5,0,546,98455,0,30
66,0,523,98478,0,23
66.5,0,508,98493,0,15
67,0,488,98513,0,20
67.5,0,469,98532,0,19
68,0,452,98549,0,17
68.5,0,424,98577,0,28
69,0,411,98590,0,13
69.5,0,391,98610,0,20
70,0,381,98620,0,10
70.5,0,367,98634,0,14
71,0,357,98644,0,10
71.5,0,346,98655,0,11
72,0,329,98672,0,17
72.5,0,314,98687,0,15
73,0,304,98697,0,10
73.5,0,292,98709,0,12
74,0,285,98716,0,7
74.5,0,275,98726,0,10
75,0,258,98743,0,17
75.5,0,247,98754,0,11
76,0,236,98765,0,11
76.5,0,228,98773,0,8
77,0,220,98781,0,8
77.5,0,203,98798,0,17
78,0,192,98809,0,11
78.5,0,180,98821,0,12
79,0,171,98830,0,9
79.5,0,162,98839,0,9
80,0,157,98844,0,5
