"time","S","I","R","new_I","new_R"
0,99000,1000,0,1000,0
0.5,3,99960,37,98997,37
1,0,96456,3544,3,3507
1.5,0,93108,6892,0,3348
2,0,89920,10080,0,3188
2.5,0,86880,13120,0,3040
3,0,83921,16079,0,2959
3.5,0,81040,18960,0,2881
4,0,78119,21881,0,2921
4.5,0,75472,24528,0,2647
5,0,72887,27113,0,2585
5.5,0,70328,29672,0,2559
6,0,67946,32054,0,2382
6.5,0,65611,34389,0,2335
7,0,63324,36676,0,2287
7.5,0,61202,38798,0,2122
8,0,59087,40913,0,2115
8.5,0,57108,42892,0,1979
9,0,55168,44832,0,1940
9.5,0,53263,46737,0,1905
10,0,51413,48587,0,1850
10.5,0,49689,50311,0,1724
11,0,47987,52013,0,1702
11.5,0,46298,53702,0,1689
12,0,44692,55308,0,1606
12.5,0,43134,56866,0,1558
13,0,41665,58335,0,1469
13.5,0,40228,59772,0,1437
14,0,38872,61128,0,1356
14.5,0,37539,62461,0,1333
15,0,36262,63738,0,1277
15.5,0,35024,64976,0,1238
16,0,33866,66134,0,1158
16.5,0,32679,67321,0,1187
17,0,31556,68444,0,1123
17.5,0,30487,69513,0,1069
18,0,29517,70483,0,970
18.5,0,28464,71536,0,1053
19,0,27505,72495,0,959
19.5,0,26585,73415,0,920
20,0,25676,74324,0,909
20.5,0,24795,75205,0,881
21,0,23976,76024,0,819
21.5,0,23169,76831,0,807
22,0,22386,77614,0,783
22.5,0,21606,78394,0,780
23,0,20851,79149,0,755
23.5,0,20074,79926,0,777
24,0,19375,80625,0,699
24.5,0,18722,81278,0,653
25,0,18086,81914,0,636
25.5,0,17503,82497,0,583
26,0,16879,83121,0,624
26.5,0,16332,83668,0,547
27,0,15785,84215,0,547
27.5,0,15247,84753,0,538
28,0,14713,85287,0,534
28.5,0,14230,85770,0,483
29,0,13735,86265,0,495
29.5,0,13260,86740,0,475
30,0,12792,87208,0,468
30.5,0,12349,87651,0,443
31,0,11925,88075,0,424
31.5,0,11503,88497,0,422
32,0,11116,88884,0,387
32.5,0,10732,89268,0,384
33,0,10339,89661,0,393
33.5,0,9997,90003,0,342
34,0,9636,90364,0,361
34.5,0,9319,90681,0,317
35,0,8982,91018,0,337
35.5,0,8668,91332,0,314
36,0,8378,91622,0,290
36.5,0,8095,91905,0,283
37,0,7816,92184,0,279
37.5,0,7524,92476,0,292
38,0,7249,92751,0,275
38.5,0,7006,92994,0,243
39,0,6768,93232,0,238
39.5,0,6530,93470,0,238
40,0,6283,93717,0,247
40.5,0,6074,93926,0,209
41,0,5842,94158,0,232
41.5,0,5657,94343,0,185
42,0,5465,94535,0,192
42.5,0,5289,94711,0,176
43,0,5104,94896,0,185
43.5,0,4916,95084,0,188
44,0,4779,95221,0,137
44.5,0,4595,95405,0,184
45,0,4424,95576,0,171
45.5,0,4268,95732,0,156
46,0,4125,95875,0,143
46.5,0,3978,96022,0,147
47,0,3835,96165,0,143
47.5,0,3705,96295,0,130
48,0,3589,96411,0,116
48.5,0,3445,96555,0,144
49,0,3329,96671,0,116
49.5,0,3196,96804,0,133
50,0,3081,96919,0,115
50.5,0,2975,97025,0,106
51,0,2873,97127,0,102
51.5,0,2764,97236,0,109
52,0,2674,97326,0,90
52.5,0,2568,97432,0,106
53,0,2482,97518,0,86
53.5,0,2403,97597,0,79
54,0,2312,97688,0,91
54.5,0,2235,97765,0,77
55,0,2159,97841,0,76
55.5,0,2088,97912,0,71
56,0,2002,97998,0,86
56.5,0,1916,98084,0,86
57,0,1851,98149,0,65
57.5,0,1799,98201,0,52
58,0,1722,98278,0,77
58.5,0,1658,98342,0,64
59,0,1598,98402,0,60
59.5,0,1538,98462,0,60
60,0,1482,98518,0,56
60.5,0,1432,98568,0,50
61,0,1382,98618,0,50
61.5,0,1333,98667,0,49
62,0,1289,98711,0,44
62.5,0,1237,98763,0,52
63,0,1187,98813,0,50
63.5,0,1147,98853,0,40
64,0,1106,98894,0,41
64.5,0,1065,98935,0,41
65,0,1034,98966,0,31
65.5,0,996,99004,0,38
66,0,958,99042,0,38
66.5,0,924,99076,0,34
67,0,884,99116,0,40
67.5,0,856,99144,0,28
68,0,827,99173,0,29
68.5,0,800,99200,0,27
69,0,760,99240,0,40
69.5,0,739,99261,0,21
70,0,709,99291,0,30
70.5,0,692,99308,0,17
71,0,670,99330,0,22
71.5,0,652,99348,0,18
72,0,634,99366,0,18
72.5,0,608,99392,0,26
73,0,585,99415,0,23
73.5,0,568,99432,0,17
74,0,549,99451,0,19
74.5,0,536,99464,0,13
75,0,519,99481,0,17
75.5,0,493,99507,0,26
76,0,475,99525,0,18
76.5,0,457,99543,0,18
77,0,443,99557,0,14
77.5,0,429,99571,0,14
78,0,403,99597,0,26
78.5,0,385,99615,0,18
79,0,365,99635,0,20
79.5,0,349,99651,0,16
80,0,334,99666,0,15
