"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,195,5,0,1,0
1,194,6,0,1,0
1.5,192,8,0,2,0
2,189,11,0,3,0
2.5,184,13,3,5,3
3,181,16,3,3,0
3.5,172,25,3,9,0
4,163,32,5,9,2
4.5,153,36,11,10,6
5,142,45,13,11,2
5.5,124,63,13,18,0
6,109,76,15,15,2
6.5,92,84,24,17,9
7,77,94,29,15,5
7.5,56,106,38,21,9
8,47,102,51,9,13
8.5,38,100,62,9,11
9,36,92,72,2,10
9.5,27,90,83,9,11
10,24,85,91,3,8
10.5,16,86,98,8,7
11,13,85,102,3,4
11.5,11,83,106,2,4
12,8,79,113,3,7
12.5,7,71,122,1,9
13,3,70,127,4,5
13.5,3,62,135,0,8
14,3,55,142,0,7
14.5,3,50,147,0,5
15,3,48,149,0,2
15.5,3,45,152,0,3
16,3,44,153,0,1
16.5,2,43,155,1,2
17,2,41,157,0,2
17.5,2,37,161,0,4
18,2,36,162,0,1
18.5,2,32,166,0,4
19,2,31,167,0,1
19.5,2,24,174,0,7
20,2,23,175,0,1
20.5,2,22,176,0,1
21,2,20,178,0,2
21.5,2,19,179,0,1
22,2,19,179,0,0
22.5,1,17,182,1,3
23,1,17,182,0,0
23.5,1,14,185,0,3
24,1,13,186,0,1
24.5,1,12,187,0,1
25,1,12,187,0,0
25.5,1,11,188,0,1
26,1,11,188,0,0
26.5,1,10,189,0,1
27,1,10,189,0,0
27.5,1,10,189,0,0
28,1,10,189,0,0
28.5,1,9,190,0,1
29,1,9,190,0,0
29.5,0,10,190,1,0
30,0,8,192,0,2
30.5,0,8,192,0,0
31,0,7,193,0,1
31.5,0,6,194,0,1
32,0,6,194,0,0
32.5,0,5,195,0,1
33,0,5,195,0,0
33.5,0,5,195,0,0
34,0,5,195,0,0
34.5,0,5,195,0,0
35,0,5,195,0,0
35.5,0,5,195,0,0
36,0,5,195,0,0
36.5,0,4,196,0,1
37,0,4,196,0,0
37.5,0,3,197,0,1
38,0,2,198,0,1
38.5,0,2,198,0,0
39,0,2,198,0,0
39.5,0,2,198,0,0
40,0,1,199,0,1
40.5,0,1,199,0,0
41,0,1,199,0,0
41.5,0,1,199,0,0
42,0,1,199,0,0
42.5,0,1,199,0,0
43,0,1,199,0,0
43.5,0,1,199,0,0
44,0,1,199,0,0
44.5,0,0,200,0,1
45,0,0,200,0,0
45.5,0,0,200,0,0
46,0,0,200,0,0
46.5,0,0,200,0,0
47,0,0,200,0,0
47.5,0,0,200,0,0
48,0,0,200,0,0
48.5,0,0,200,0,0
49,0,0,200,0,0
49.5,0,0,200,0,0
50,0,0,200,0,0
50.5,0,0,200,0,0
51,0,0,200,0,0
51.5,0,0,200,0,0
52,0,0,200,0,0
52.5,0,0,200,0,0
53,0,0,200,0,0
53.5,0,0,200,0,0
54,0,0,200,0,0
54.5,0,0,200,0,0
55,0,0,200,0,0
55.5,0,0,200,0,0
56,0,0,200,0,0
56.5,0,0,200,0,0
57,0,0,200,0,0
57.5,0,0,200,0,0
58,0,0,200,0,0
58.5,0,0,200,0,0
59,0,0,200,0,0
59.5,0,0,200,0,0
60,0,0,200,0,0
60.5,0,0,200,0,0
61,0,0,200,0,0
61.5,0,0,200,0,0
62,0,0,200,0,0
62.5,0,0,200,0,0
63,0,0,200,0,0
63.5,0,0,200,0,0
64,0,0,200,0,0
64.5,0,0,200,0,0
65,0,0,200,0,0
65.5,0,0,200,0,0
66,0,0,200,0,0
66.5,0,0,200,0,0
67,0,0,200,0,0
67.5,0,0,200,0,0
68,0,0,200,0,0
68.5,0,0,200,0,0
69,0,0,200,0,0
69.5,0,0,200,0,0
70,0,0,200,0,0
70.5,0,0,200,0,0
71,0,0,200,0,0
71.5,0,0,200,0,0
72,0,0,200,0,0
72.5,0,0,200,0,0
73,0,0,200,0,0
73.5,0,0,200,0,0
74,0,0,200,0,0
74.5,0,0,200,0,0
75,0,0,200,0,0
75.5,0,0,200,0,0
76,0,0,200,0,0
76.5,0,0,200,0,0
77,0,0,200,0,0
77.5,0,0,200,0,0
78,0,0,200,0,0
78.5,0,0,200,0,0
79,0,0,200,0,0
79.5,0,0,200,0,0
80,0,0,200,0,0
