"time","S","I","R","new_I","new_R"
0,49,1,0,1,0
0.5,49,1,0,0,0
1,49,1,0,0,0
1.5,49,1,0,0,0
2,47,3,0,2,0
2.5,45,5,0,2,0
3,44,6,0,1,0
3.5,41,9,0,3,0
4,36,14,0,5,0
4.5,30,17,3,6,3
5,26,20,4,4,1
5.5,18,28,4,8,0
6,13,33,4,5,0
6.5,10,35,5,3,1
7,10,34,6,0,1
7.5,5,38,7,5,1
8,4,38,8,1,1
8.5,3,39,8,1,0
9,1,39,10,2,2
9.5,0,40,10,1,0
10,0,38,12,0,2
10.5,0,37,13,0,1
11,0,35,15,0,2
11.5,0,34,16,0,1
12,0,32,18,0,2
12.5,0,31,19,0,1
13,0,30,20,0,1
13.5,0,28,22,0,2
14,0,28,22,0,0
14.5,0,27,23,0,1
15,0,26,24,0,1
15.5,0,25,25,0,1
16,0,24,26,0,1
16.5,0,22,28,0,2
17,0,22,28,0,0
17.5,0,22,28,0,0
18,0,22,28,0,0
18.5,0,22,28,0,0
19,0,22,28,0,0
19.5,0,21,29,0,1
20,0,20,30,0,1
20.5,0,20,30,0,0
21,0,18,32,0,2
21.5,0,18,32,0,0
22,0,18,32,0,0
22.5,0,18,32,0,0
23,0,17,33,0,1
23.5,0,17,33,0,0
24,0,17,33,0,0
24.5,0,16,34,0,1
25,0,16,34,0,0
25.5,0,15,35,0,1
26,0,15,35,0,0
26.5,0,14,36,0,1
27,0,14,36,0,0
27.5,0,14,36,0,0
28,0,14,36,0,0
28.5,0,13,37,0,1
29,0,12,38,0,1
29.5,0,12,38,0,0
30,0,11,39,0,1
30.5,0,9,41,0,2
31,0,9,41,0,0
31.5,0,9,41,0,0
32,0,9,41,0,0
32.5,0,9,41,0,0
33,0,8,42,0,1
33.5,0,8,42,0,0
34,0,8,42,0,0
34.5,0,8,42,0,0
35,0,8,42,0,0
35.5,0,8,42,0,0
36,0,8,42,0,0
36.5,0,8,42,0,0
37,0,8,42,0,0
37.5,0,7,43,0,1
38,0,7,43,0,0
38.5,0,6,44,0,1
39,0,6,44,0,0
39.5,0,6,44,0,0
40,0,5,45,0,1
40.5,0,5,45,0,0
41,0,5,45,0,0
41.5,0,5,45,0,0
42,0,5,45,0,0
42.5,0,3,47,0,2
43,0,3,47,0,0
43.5,0,3,47,0,0
44,0,3,47,0,0
44.5,0,3,47,0,0
45,0,2,48,0,1
45.5,0,2,48,0,0
46,0,1,49,0,1
46.5,0,1,49,0,0
47,0,1,49,0,0
47.5,0,1,49,0,0
48,0,1,49,0,0
48.5,0,1,49,0,0
49,0,1,49,0,0
49.5,0,1,49,0,0
50,0,1,49,0,0
50.5,0,1,49,0,0
51,0,0,50,0,1
51.5,0,0,50,0,0
52,0,0,50,0,0
52.5,0,0,50,0,0
53,0,0,50,0,0
53.5,0,0,50,0,0
54,0,0,50,0,0
54.5,0,0,50,0,0
55,0,0,50,0,0
55.5,0,0,50,0,0
56,0,0,50,0,0
56.5,0,0,50,0,0
57,0,0,50,0,0
57.5,0,0,50,0,0
58,0,0,50,0,0
58.5,0,0,50,0,0
59,0,0,50,0,0
59.5,0,0,50,0,0
60,0,0,50,0,0
60.5,0,0,50,0,0
61,0,0,50,0,0
61.5,0,0,50,0,0
62,0,0,50,0,0
62.5,0,0,50,0,0
63,0,0,50,0,0
63.5,0,0,50,0,0
64,0,0,50,0,0
64.5,0,0,50,0,0
65,0,0,50,0,0
65.5,0,0,50,0,0
66,0,0,50,0,0
66.5,0,0,50,0,0
67,0,0,50,0,0
67.5,0,0,50,0,0
68,0,0,50,0,0
68.5,0,0,50,0,0
69,0,0,50,0,0
69.5,0,0,50,0,0
70,0,0,50,0,0
70.5,0,0,50,0,0
71,0,0,50,0,0
71.5,0,0,50,0,0
72,0,0,50,0,0
72.5,0,0,50,0,0
73,0,0,50,0,0
73.5,0,0,50,0,0
74,0,0,50,0,0
74.5,0,0,50,0,0
75,0,0,50,0,0
75.5,0,0,50,0,0
76,0,0,50,0,0
76.5,0,0,50,0,0
77,0,0,50,0,0
77.5,0,0,50,0,0
78,0,0,50,0,0
78.5,0,0,50,0,0
79,0,0,50,0,0
79.5,0,0,50,0,0
80,0,0,50,0,0
