"time","S","I","R","new_I","new_R"
0,99,1,0,1,0
0.5,97,3,0,2,0
1,97,3,0,0,0
1.5,97,3,0,0,0
2,97,2,1,0,1
2.5,97,2,1,0,0
3,97,2,1,0,0
3.5,96,3,1,1,0
4,96,3,1,0,0
4.5,95,4,1,1,0
5,91,8,1,4,0
5.5,89,10,1,2,0
6,82,16,2,7,1
6.5,74,24,2,8,0
7,69,28,3,5,1
7.5,60,36,4,9,1
8,54,41,5,6,1
8.5,51,44,5,3,0
9,46,46,8,5,3
9.5,41,48,11,5,3
10,34,53,13,7,2
10.5,28,57,15,6,2
11,23,60,17,5,2
11.5,18,63,19,5,2
12,17,60,23,1,4
12.5,13,59,28,4,5
13,11,58,31,2,3
13.5,9,57,34,2,3
14,7,57,36,2,2
14.5,7,56,37,0,1
15,6,56,38,1,1
15.5,6,54,40,0,2
16,5,52,43,1,3
16.5,4,51,45,1,2
17,4,49,47,0,2
17.5,4,47,49,0,2
18,4,45,51,0,2
18.5,3,44,53,1,2
19,3,42,55,0,2
19.5,3,41,56,0,1
20,3,37,60,0,4
20.5,2,35,63,1,3
21,2,33,65,0,2
21.5,2,33,65,0,0
22,2,31,67,0,2
22.5,2,30,68,0,1
23,2,30,68,0,0
23.5,1,31,68,1,0
24,1,30,69,0,1
24.5,1,29,70,0,1
25,1,29,70,0,0
25.5,1,28,71,0,1
26,1,27,72,0,1
26.5,1,26,73,0,1
27,0,27,73,1,0
27.5,0,25,75,0,2
28,0,25,75,0,0
28.5,0,24,76,0,1
29,0,23,77,0,1
29.5,0,23,77,0,0
30,0,22,78,0,1
30.5,0,21,79,0,1
31,0,20,80,0,1
31.5,0,19,81,0,1
32,0,18,82,0,1
32.5,0,18,82,0,0
33,0,17,83,0,1
33.5,0,16,84,0,1
34,0,16,84,0,0
34.5,0,15,85,0,1
35,0,15,85,0,0
35.5,0,14,86,0,1
36,0,14,86,0,0
36.5,0,13,87,0,1
37,0,13,87,0,0
37.5,0,12,88,0,1
38,0,12,88,0,0
38.5,0,11,89,0,1
39,0,10,90,0,1
39.5,0,9,91,0,1
40,0,9,91,0,0
40.5,0,8,92,0,1
41,0,8,92,0,0
41.5,0,7,93,0,1
42,0,6,94,0,1
42.5,0,6,94,0,0
43,0,5,95,0,1
43.5,0,5,95,0,0
44,0,5,95,0,0
44.5,0,5,95,0,0
45,0,5,95,0,0
45.5,0,5,95,0,0
46,0,5,95,0,0
46.5,0,5,95,0,0
47,0,4,96,0,1
47.5,0,4,96,0,0
48,0,3,97,0,1
48.5,0,3,97,0,0
49,0,2,98,0,1
49.5,0,2,98,0,0
50,0,2,98,0,0
50.5,0,2,98,0,0
51,0,2,98,0,0
51.5,0,2,98,0,0
52,0,2,98,0,0
52.5,0,1,99,0,1
53,0,1,99,0,0
53.5,0,1,99,0,0
54,0,1,99,0,0
54.5,0,1,99,0,0
55,0,1,99,0,0
55.5,0,1,99,0,0
56,0,1,99,0,0
56.5,0,1,99,0,0
57,0,1,99,0,0
57.5,0,1,99,0,0
58,0,1,99,0,0
58.5,0,1,99,0,0
59,0,1,99,0,0
59.5,0,1,99,0,0
60,0,1,99,0,0
60.5,0,1,99,0,0
61,0,1,99,0,0
61.5,0,1,99,0,0
62,0,1,99,0,0
62.5,0,1,99,0,0
63,0,0,100,0,1
63.5,0,0,100,0,0
64,0,0,100,0,0
64.5,0,0,100,0,0
65,0,0,100,0,0
65.5,0,0,100,0,0
66,0,0,100,0,0
66.5,0,0,100,0,0
67,0,0,100,0,0
67.5,0,0,100,0,0
68,0,0,100,0,0
68.5,0,0,100,0,0
69,0,0,100,0,0
69.5,0,0,100,0,0
70,0,0,100,0,0
70.5,0,0,100,0,0
71,0,0,100,0,0
71.5,0,0,100,0,0
72,0,0,100,0,0
72.5,0,0,100,0,0
73,0,0,100,0,0
73.5,0,0,100,0,0
74,0,0,100,0,0
74.5,0,0,100,0,0
75,0,0,100,0,0
75.5,0,0,100,0,0
76,0,0,100,0,0
76.5,0,0,100,0,0
77,0,0,100,0,0
77.5,0,0,100,0,0
78,0,0,100,0,0
78.5,0,0,100,0,0
79,0,0,100,0,0
79.5,0,0,100,0,0
80,0,0,100,0,0
